country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_range,update_hour,pollution_category
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2026-05-31 10:00:00,28.47272,77.482,PM10,38.0,169.0,75.0,131.0,10,Moderate
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-05-31 10:00:00,13.67,79.35,PM2.5,5.0,168.0,43.0,163.0,10,Good
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2026-05-31 10:00:00,28.47272,77.482,NH3,8.0,11.0,9.0,3.0,10,Good
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-05-31 10:00:00,13.67,79.35,NO2,27.0,93.0,53.0,66.0,10,Moderate
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2026-05-31 10:00:00,22.5687319,88.2797276,OZONE,10.0,52.0,24.0,42.0,10,Good
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-05-31 10:00:00,13.67,79.35,SO2,3.0,10.0,6.0,7.0,10,Good
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",2026-05-31 10:00:00,22.5367507,88.3638022,PM10,24.0,67.0,46.0,43.0,10,Good
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2026-05-31 10:00:00,28.557054,77.453663,PM10,53.0,396.0,106.0,343.0,10,Poor
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-05-31 10:00:00,13.615387,79.40923,PM2.5,37.0,49.0,45.0,12.0,10,Good
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",2026-05-31 10:00:00,22.5367507,88.3638022,SO2,5.0,8.0,6.0,3.0,10,Good
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-05-31 10:00:00,13.615387,79.40923,PM10,55.0,68.0,63.0,13.0,10,Moderate
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",2026-05-31 10:00:00,22.5367507,88.3638022,OZONE,11.0,26.0,15.0,15.0,10,Good
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",2026-05-31 10:00:00,28.3153,76.9143,PM2.5,23.0,286.0,91.0,263.0,10,Moderate
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",2026-05-31 10:00:00,22.58157048,88.41002457,NO2,12.0,13.0,13.0,1.0,10,Good
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-05-31 10:00:00,16.536107,80.594233,PM10,12.0,13.0,13.0,1.0,10,Good
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",2026-05-31 10:00:00,28.3153,76.9143,SO2,6.0,16.0,10.0,10.0,10,Good
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",2026-05-31 10:00:00,28.725645,77.749675,SO2,1.0,34.0,13.0,33.0,10,Good
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-05-31 10:00:00,16.536107,80.594233,NH3,1.0,34.0,13.0,33.0,10,Good
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",2026-05-31 10:00:00,25.4547,78.6039,PM10,23.0,79.0,37.0,56.0,10,Good
